Relative Time;m/z 35.00 ch3;37/21
723.208;179.4075073;7.036905004
723.966;177.6898659;6.841671189
724.723;175.1828744;6.844853607
725.479;183.0583979;7.117774417
726.236;190.0958465;7.487444792
726.992;184.5343251;7.028473526
727.748;184.1198662;7.233039369
728.504;187.3699715;7.252528919
729.261;178.8053001;7.030036281
730.017;187.6678623;7.38608772
730.773;182.6478446;7.022270602
731.53;176.1727194;6.892211423
732.286;171.6095238;6.454610443
733.043;178.4390644;7.090118384
733.799;186.2560991;7.165732992
734.555;178.323978;6.917744277
735.312;183.4439706;7.282979447
736.069;190.4917964;7.049732145
736.825;185.8246282;7.131948517
737.582;183.3513096;7.078235534
738.338;182.4686065;7.546099012
739.095;171.2372903;7.100961108
739.852;173.215405;6.763735982
740.609;173.6375772;7.23147169
741.365;186.3555554;7.367028859
742.122;175.0367026;7.144132394
742.878;185.9957921;7.474094108
743.635;183.4869427;7.385125225
744.392;181.4711465;7.01741633
745.149;173.0382105;7.155754982
745.905;182.1206524;7.328548626
746.662;179.0336536;7.472853617
747.42;175.7120424;7.261882489
748.176;177.1171723;6.898400862
748.932;173.7281984;7.264874779
749.69;179.5086452;6.939703629
750.447;177.2144285;7.046476007
751.203;177.8142344;7.209227152
751.959;174.3630869;7.171255525
752.716;185.8105413;6.847560116
753.472;181.0612934;7.269419274
754.228;178.2908008;7.450031552
754.985;176.3838421;7.129493745
755.741;173.7990239;6.974851466
756.497;179.2088647;6.976664272
757.254;175.490374;7.081132504
758.01;177.559243;6.831043983
758.766;171.9806285;6.659451443
759.523;162.0322806;6.730224154
760.279;172.6661929;7.050228862
761.035;165.6347465;6.353060161
761.792;170.7117938;7.259154784
762.549;172.5542794;7.162613065
763.305;169.9619297;6.82262329
764.062;170.2859179;6.697896958
764.819;170.0115129;6.83307307
765.575;179.0796383;7.30807816
766.203;170.487727;7.279309829
767.09;172.2850805;7.055682097
767.846;177.6701632;7.402865793
768.603;170.1191726;7.266311347
769.359;177.7505414;7.510443617
770.116;160.8700589;6.878898352
770.874;172.4259123;7.310687079
771.63;166.312836;7.093820176
772.386;165.1103892;7.059107193
773.143;172.8661989;7.222985194
773.899;167.0902543;7.162658448
774.655;175.3350354;7.17563671
775.412;169.2280803;7.210577829
776.168;171.1076261;7.520354846
776.927;164.8380425;7.091254941
777.683;156.8850417;6.690704557
778.44;170.5719473;7.344919669
779.196;165.3648592;7.280927321
779.952;168.2690238;6.973596553
780.709;172.8602629;7.109226474
781.465;169.9181262;7.312786149
782.221;168.782298;7.088522748
782.978;165.6526927;7.532910972
783.734;160.3184518;6.98704083
784.491;161.8148642;7.162247878
785.247;168.12463;7.240638256
786.004;164.379986;7.030864582
786.76;171.7643671;7.466335166
787.516;164.3416828;6.979689691
788.273;165.7344467;7.003081496
789.03;163.6075811;7.172895597
789.786;171.8878692;7.261174558
790.542;153.9268856;6.742164558
791.298;166.3351676;7.73081885
